,country_name,country_code,year,growth
0,Argentina,ARG,1961,5.427842879512481
1,Australia,AUS,1961,2.4856050373187597
2,Austria,AUT,1961,5.5379793168452505
3,Burundi,BDI,1961,-13.746135054725801
4,Belgium,BEL,1961,4.97842306319194
5,Benin,BEN,1961,3.14128045871784
6,Burkina Faso,BFA,1961,4.04392797653317
7,Bangladesh,BGD,1961,6.05816082548087
8,"Bahamas, The",BHS,1961,10.667097429183
9,Belize,BLZ,1961,4.892277219026879
10,Bermuda,BMU,1961,4.679999999997309
11,Bolivia,BOL,1961,2.08929593589016
12,Brazil,BRA,1961,10.275911554301
13,Botswana,BWA,1961,6.34328371864589
14,Central African Republic,CAF,1961,4.95355379797229
15,Canada,CAN,1961,3.1632916837128104
16,Chile,CHL,1961,5.24527188577721
17,China,CHN,1961,-27.270000003946098
18,Cote d'Ivoire,CIV,1961,9.932555156421731
19,Cameroon,CMR,1961,1.1836808117073
20,"Congo, Dem. Rep.",COD,1961,-10.8513760836337
21,"Congo, Rep.",COG,1961,8.35072672433139
22,Colombia,COL,1961,5.08921698366154
23,Costa Rica,CRI,1961,1.87927655883564
24,Denmark,DNK,1961,6.378832475573961
25,Dominican Republic,DOM,1961,-2.3132487496333702
26,Algeria,DZA,1961,-13.6054413259302
27,East Asia & Pacific (excluding high income),EAP,1961,-11.2246916745965
28,Early-demographic dividend,EAR,1961,4.37349874668622
29,East Asia & Pacific,EAS,1961,5.89082809428734
30,Ecuador,ECU,1961,5.12441488051249
31,"Egypt, Arab Rep.",EGY,1961,5.16111414527587
32,Euro area,EMU,1961,6.6791799499810995
33,Spain,ESP,1961,11.8386741948331
34,European Union,EUU,1961,5.5944981804011
35,Finland,FIN,1961,7.60467047924432
36,Fiji,FJI,1961,3.51758200401582
37,France,FRA,1961,5.5062724371174205
38,Gabon,GAB,1961,14.766843186833198
39,United Kingdom,GBR,1961,2.57356996313493
40,Ghana,GHA,1961,3.4296740116694098
41,Greece,GRC,1961,11.1495373965282
42,Guatemala,GTM,1961,4.29851834779807
43,Guyana,GUY,1961,4.68952430926973
44,High income,HIC,1961,4.7532714870655
45,Honduras,HND,1961,1.85565932082041
46,Heavily indebted poor countries (HIPC),HPC,1961,0.0435499909227985
47,Haiti,HTI,1961,-2.93198029015733
48,IBRD only,IBD,1961,2.54195197165545
49,IDA & IBRD total,IBT,1961,2.37664375151236
50,IDA total,IDA,1961,1.11783563044074
51,IDA blend,IDB,1961,1.26168061948005
