,majority_religion,majority_population,pf_religion,pf_expression,ef_trade,ef_legal,pf_movement,pf_rol,pf_ss,pf_association,pf_identity,ef_money,ef_regulation,growth,Happiness Score
0,islam,2013180.0,9.235185185,8.642857142999999,8.112451744,5.003488819,6.666666667,5.164786073,8.865642363,10.0,6.25,9.585625237,7.035654872,2.2199999999999105,4.959
1,islam,35309660.0,5.322592593,7.416666667,4.0084319619999995,4.551817203,5.0,3.895039415,8.017162957,5.0,0.833333333,6.852789873,5.2647695269999994,3.76346695783126,5.605
2,christianity,17034849.0,8.757037037,6.547619048,5.143997963,2.960263718,5.0,3.512106161,8.297864524,4.0,7.5,6.88546476,6.065583361,0.94357561306073,4.033
3,christianity,34400709.0,7.8888888889999995,8.619047619,3.730787481,3.81636162,10.0,5.535099829,8.962107772000001,7.5,10.0,6.455330731,5.549339485,2.73115982828946,6.574
4,christianity,3086654.0,6.37037037,7.154761905,8.242619487,5.777803721000001,6.666666667,4.6799897139999995,8.930382952999999,6.5,8.0,9.481225477999999,7.364916892,3.20000000000005,4.35
5,christianity,13150670.0,9.140740741,9.357142857000001,7.60074244,7.994810648,10.0,7.893906437,9.865921211,10.0,9.25,9.36013851,8.45647826,2.35113644074406,7.284
6,christianity,6124531.0,8.233333333,9.297619048,8.12194709,8.015541357,10.0,8.577467629,9.929328542999999,10.0,10.0,9.616600404,7.388044299,1.1429801007153202,7.2
7,islam,8595234.0,5.689259259,2.863230245,7.103099424,5.321383003,5.0,4.262049381000001,8.826463112,3.0,6.25,7.307812065,6.977047604,1.0999998090951002,5.212000000000001
8,islam,1106174.0,7.761111111,4.130952381,7.425336752000001,5.2656016039999995,6.666666667,5.972326252999999,7.746455847000001,5.0,3.333333333,9.182060969,8.234171275,2.8619678250822203,5.96
9,islam,132119746.0,6.557777777999999,6.531109157,5.9908622760000005,3.01713395,5.0,3.090543409,7.542737251,7.0,1.25,7.02942331,6.728536093,6.55265279631962,4.694
10,christianity,5394257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.82957055828382,5.813
11,christianity,7526165.0,8.305555556,9.761904762,8.26008994,7.254599507999999,10.0,8.075732926,9.740135637,10.0,9.25,9.664241683,8.098134701000001,1.7166813167305,6.937
12,christianity,3514394.0,9.877777777999999,8.952380952,5.924920312,3.580765453,6.666666667,4.296936351,8.031187091,9.5,10.0,6.9349905739999995,6.676452396,2.0958083832335,3.34
13,buddhism,583740.0,7.6055555560000005,7.25,6.267201458,6.859619903,5.0,6.0515899410000005,8.796795981,0.0,3.75,7.028718621,7.630521367,6.64456425820161,5.252999999999999
14,christianity,9720100.0,8.625925926,8.535714286000001,6.8473702460000005,3.5811338839999998,10.0,3.499504426,8.443566797999999,6.5,10.0,8.727218031,4.950571175,4.857187894911999,5.89
15,christianity,1988372.0,8.781481481,8.702380952,7.777568764,4.23921142,6.666666667,5.834004367,9.01885084,9.5,9.25,8.462580284,7.312599848,3.07682267108953,4.949
16,christianity,1250799.0,9.258333333,7.8125,7.721952656,6.164800355,8.333333332999999,5.171875449,7.161570546,0.0,4.25,9.084882842,7.879407652,-1.69793550237911,4.332
17,christianity,168313010.0,7.717037037000001,8.040351008,6.9012205,4.45130018,10.0,4.803456119,6.110787427000001,6.5,7.5,7.965807686000001,4.297102904,-3.54576339347277,6.983
18,christianity,6206119.0,7.352222222000001,8.857142857000001,8.133586308,4.883130213,10.0,5.209517109,9.760358771,9.5,9.25,9.355065492,7.583775782999999,3.47118604090714,4.218
19,islam,9023117.0,8.161481481000001,7.738095238,6.611367436,3.5975811380000002,8.333333332999999,4.40768034,8.370018747,7.5,10.0,6.959041731,7.416259395,3.89454805671508,3.5869999999999997
20,christianity,7641386.0,7.314814815,1.9445776280000002,6.1043673179999995,3.09182541,1.6666666669999999,3.4283783160000003,6.2321254360000005,1.5,5.833333333,7.778224417000001,6.259963671,-3.90000308649554,2.905
21,buddhism,14801990.0,8.72962963,7.94047619,7.3106087529999995,4.354993663999999,10.0,2.669279254,9.587538771,7.5,8.333333332999999,9.295413111,7.157078443,7.036087179296322,3.819
22,christianity,9868484.0,8.10962963,7.03267618,4.96170465,3.257379298,3.333333333,3.091677133,5.829825662999999,5.5,5.0,7.0963593760000006,6.279913398,5.651463743628299,4.252
23,christianity,26431104.0,8.85,9.511904762,7.873761602999999,7.8506801170000005,10.0,7.700447121,9.775239147999999,10.0,9.25,9.582510675,8.501366871,1.00088249407992,7.4270000000000005
24,islam,6347232.0,7.987037037,7.523809524,5.155202215,2.76778205,8.333333332999999,3.3642580239999997,5.038055998,6.5,5.0,6.352455917,4.947747979,2.7676756848447,3.667
