state,level_0,index,year,code,majority_religion,majority_population,majority_ratio,population,ISO_code,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Guinea-Bissau,7,899,2010,GNB,animism,702000,0.475,1477784,GNB,Sub-Saharan Africa,,,,3.6627940000000003,5.8104744770000005,10.0,10.0,2.5,10.0,10.0,8.5,5.0,10.0,,,0.0,5.0,6.4368248260000005,10.0,10.0,,10.0,,,,9.351111111,7.172222222,8.261666667,,,,,,,,,,,,,10.0,10.0,5.0,3.75,,,,7.1875,,,,0.0,10.0,10.0,10.0,,5.0,6.33105054,117.0,7.65,,0.0,,,,3.825,,3.2,,0.833333333,4.166666667,3.480968692,2.546821011,,,0.794871795,2.553705844,7.4008053689999995,8.161110227,9.49642972,0.0,6.264586329,,7.62,7.2868,7.4534,,6.862442493,6.862442493,10.0,,0.7692307690000001,0.0,0.384615385,6.17511447,10.0,7.4879879879999995,10.0,9.162662662999999,3.333333333,,,8.0,2.517253846,0.0,3.462646795,,5.0,7.881591526,,6.277648028,7.668460095,6.706924912000001,6.444078123,5.05,148.0,5.69052527,138.0,4.0
Mongolia,84,1653,2010,MON,buddhism,1455388,0.53,2746016,MNG,East Asia,5.166666667,5.2675633280000005,5.436862357000001,5.3,6.475770925,10.0,10.0,7.5,10.0,10.0,9.5,10.0,7.5,,,10.0,9.166666667000001,8.380812531,10.0,10.0,10.0,10.0,5.0,6.666666667,5.833333333,9.888888889,9.816666667,8.512962963,5.0,5.0,5.0,6.666666667,5.833333333,5.0,3.333333333,4.166666667,5.0,6.666666667,5.833333333,5.166666667,10.0,10.0,5.333333333,6.75,6.666666667,6.666666667,10.0,7.916666667,,,,10.0,10.0,10.0,10.0,,10.0,7.579832762000001,64.0,6.267647059,7.076021797999999,10.0,10.0,8.0,9.0,8.085917214,2.667386121,3.206969303,3.840694015,8.333333332999999,6.666666667,6.238903467999999,9.101814789,4.418595955,6.5241351970000006,0.9259259259999999,5.4566295060000005,4.739852149,6.172078796,7.970073715,10.0,7.220501165,8.693333333,9.0,9.7,9.131111111000001,5.321481242,3.372953213,4.347217228,10.0,6.060772688999999,6.3636363639999995,0.442502565,4.288970539,6.94182472,,10.0,9.0,9.5,8.9,5.951545894,7.959786500000001,8.0,9.251725385,3.0,7.177176296,2.829090439,5.606060606000001,9.435296194,3.193754528,7.4360153129999995,7.8478093179999995,6.0580044,7.578393565,7.06,64.0,7.3199163810000005,58.0,2.0
Bhutan,93,1727,2010,BHU,buddhism,583740,0.8402,694754,BTN,South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9411764710000003,,,,,,,,,,,,,,,,0.923076923,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,4.090909091,,,,,,,,,,,
Myanmar,106,1761,2010,MYA,buddhism,43983776,0.7479,58807968,MMR,South Asia,,,,3.445125,9.361191753,0.0,8.956586612999999,2.5,9.913602713,9.665044365,6.207046738,10.0,7.5,,,10.0,9.166666667000001,8.244968386,0.0,0.0,10.0,3.333333333,,,,9.037777777999999,9.583333332999999,9.310555556,,,,,,,,,,,,,10.0,7.408081395,0.0,0.75,,,,4.539520349,,,,10.0,0.0,10.0,5.0,,7.5,6.007949501000001,124.0,7.038235294,,4.0,5.0,5.0,5.0,5.3460784310000005,,2.9,,1.6666666669999999,5.0,,,,,0.926829268,3.0722222219999997,7.713532988,6.761158189,8.456323608,0.0,5.7327536960000005,0.0,8.88,7.1552,5.345066667,,,,0.0,,0.0,0.0,0.0,1.781688889,0.0,5.249049049,10.0,5.08301635,,,,,,0.0,,,3.333333333,,,,,,4.343591116,4.06,152.0,5.033974751000001,152.0,4.0
Sri Lanka,119,1774,2010,SRI,buddhism,14467488,0.7026,20590078,LKA,South Asia,4.1,5.226857387,6.163562259,5.2,8.488985711,5.0,10.0,5.0,9.966994009,9.96039281,7.985477363999999,10.0,10.0,,,5.0,8.333333332999999,8.269265469,0.0,5.0,10.0,5.0,10.0,6.666666667,8.333333332999999,10.0,8.516666667,8.95,7.5,7.5,7.5,6.666666667,7.083333333,10.0,6.666666667,8.333333332999999,10.0,6.666666667,8.333333332999999,7.75,10.0,10.0,2.333333333,2.5,10.0,10.0,10.0,7.833333333,,,,5.0,0.0,0.0,0.0,,2.5,6.570649701000001,103.0,8.532352941000001,9.182561308,7.0,7.0,5.0,6.0,7.678728562000001,5.508106943,5.683238115,5.772958367999999,3.333333333,4.166666667,3.6146434469999997,6.754935978,5.102212126,7.325229632,1.0,5.25125829,9.16884189,8.212035677000001,8.811865227,0.0,6.548185697999999,7.066666667000001,7.88,4.488,6.478222222,5.078912253,7.21746052,6.148186386,10.0,6.542988563,0.0,8.518174381,5.020387648,6.911699064,5.0,7.157622707000001,10.0,7.385874236,10.0,3.873585195,6.783732667000001,8.0,0.0,10.0,6.44288631,4.527040195,6.0606060610000005,8.830050395,5.023531514,7.3063811329999995,7.130412424,6.479670287,6.769476944,6.63,92.0,6.60032485,105.0,3.0
Thailand,133,1812,2010,THI,buddhism,58580120,0.87,67333472,THA,South Asia,6.433333332999999,4.320854545,5.927417274,5.6,7.825285042999999,5.0,9.628024946,5.0,9.236211222,9.068574464,7.5865621260000005,10.0,10.0,,,10.0,10.0,8.470615723,10.0,10.0,10.0,10.0,7.5,10.0,8.75,7.911111111,6.527777778,7.72962963,7.5,10.0,7.5,6.666666667,7.083333333,7.5,6.666666667,7.083333333,10.0,10.0,10.0,8.333333332999999,7.024199566,10.0,3.666666667,3.0,10.0,6.666666667,3.333333333,6.241552319,,,,10.0,10.0,10.0,10.0,,10.0,7.748105459,56.0,4.905882353,9.671934605,7.0,7.0,7.0,7.0,7.144454239,5.339083798,4.856679002,4.289375216,5.0,4.166666667,6.107323985,7.89132073,4.531288107,5.984179997000001,0.9259259259999999,5.153554959,9.319444463,9.568098221,9.337799043,0.0,7.056335432000001,9.546666667,8.02,4.7332,7.433288889,5.4543941170000005,8.179025602000001,6.8167098589999995,10.0,6.431090759,1.538,1.216882054,3.061990938,6.827997421,8.0,9.79396175,10.0,9.264653917,6.666666667,5.585855754,6.135343306,10.0,1.36606213,0.0,4.958987976,4.276221877,9.242424242,9.006392887999999,4.306555781,8.341513969,7.040737812000001,7.035641095,7.086427662999999,6.65,90.0,7.199052729,64.0,2.0
Cambodia,145,1824,2010,CAM,buddhism,14801990,0.9669,15308156,KHM,South Asia,3.8,3.74377095,3.9651531889999996,3.8,9.074691412,10.0,10.0,7.5,10.0,10.0,9.5,10.0,10.0,,,10.0,10.0,9.524897137,10.0,10.0,10.0,10.0,7.5,3.333333333,5.416666667,9.593333333,9.166666667000001,8.058888889,7.5,7.5,7.5,10.0,8.75,7.5,6.666666667,7.083333333,7.5,10.0,8.75,7.916666667,10.0,10.0,3.0,4.25,10.0,10.0,10.0,8.178571429,,,,10.0,10.0,10.0,10.0,,10.0,7.746636982999999,57.0,9.635294118,9.89346049,2.0,10.0,10.0,10.0,7.882188652000001,3.4610853269999997,4.881801927,4.625487805,4.7,,2.442528669,7.52818438,3.969132736,5.311679355,1.0,4.614987525,9.427186467,8.430568118,9.200753984,10.0,9.264627142,8.553333333,,,8.553333333,5.48321346,6.696509495,6.0898614779999996,10.0,6.209372622999999,7.0,0.33187692399999996,4.513749849,7.289236165,,7.294461807999999,,7.294461807999999,5.566666667000001,5.44252312,6.488990045,10.0,6.299740913,5.0,6.466320124,4.421045622,4.393939393999999,6.0236379,3.451538742,4.926522326000001,8.060786521,5.212911751,6.324564561,7.08,62.0,7.413318491,54.0,2.0
Laos,157,1836,2010,LAO,buddhism,4159404,0.6773,6140902,LAO,South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333333333,,,,,,,,,,,
Vietnam,160,1848,2010,DRV,buddhism,43079830,0.49,87918024,VNM,South Asia,6.666666667,4.349101094,5.694846752,5.6,9.395970581,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,9.79865686,0.0,5.0,10.0,5.0,5.0,3.333333333,4.166666667,7.3555555560000005,6.483333332999999,6.001851852000001,2.5,2.5,0.0,3.333333333,1.6666666669999999,2.5,3.333333333,2.916666667,5.0,3.333333333,4.166666667,2.75,10.0,9.434852714,0.666666667,1.75,3.333333333,3.333333333,3.333333333,4.550217054,,,,10.0,10.0,10.0,10.0,,10.0,6.679871106,99.0,9.076470588,,,5.0,5.0,5.0,7.038235294,4.325704433,4.392434917,4.522316367,5.0,6.666666667,6.509694205,8.725516721,6.9555959000000005,5.852459767,0.9655172409999999,5.781939026,8.01512173,7.460893396,8.227679927999999,0.0,5.925923762999999,8.157480315,8.04,5.216,7.137826772,4.5385539669999995,7.008729505,5.773641736,10.0,5.348405817,0.7692307690000001,0.553128207,2.223588264,6.283764193,,9.255755756000001,10.0,9.627877878,7.233333332999999,5.435955967000001,7.788724533,10.0,2.517253846,0.0,5.495877947,2.8468831669999997,5.909090909,8.47992526,3.626472033,7.459931488,0.0,4.720383808999999,6.614713211000001,6.33,112.0,6.504935552999999,112.0,3.0
Singapore,167,1873,2010,SIN,buddhism,1688506,0.3303,5112000,SGP,South Asia,8.3,7.884960541,8.651268795,8.3,9.85022423,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,9.950074743,5.0,5.0,10.0,6.666666667,5.0,3.333333333,4.166666667,7.051111111,3.0555555560000003,4.757777778,5.0,2.5,5.0,3.333333333,4.166666667,7.5,3.333333333,5.416666667,5.0,3.333333333,4.166666667,4.25,10.0,10.0,2.0,4.25,6.666666667,3.333333333,3.333333333,5.654761905,,,,10.0,0.0,10.0,5.0,,7.5,7.445439321,69.0,5.2352941180000006,10.0,8.0,10.0,10.0,10.0,8.308823529,7.733952816,7.9949344270000005,8.973617599999999,8.333333332999999,8.333333332999999,7.766531454,8.985112348,9.02911118,8.300809051,0.962962963,8.228166632999999,7.645049988999999,8.563119569,9.44,10.0,8.912042389,10.0,10.0,10.0,10.0,8.495806202,9.49560871,8.995707456,10.0,8.816255369,6.923076922999999,10.0,8.579777431,9.393871222000001,10.0,10.0,10.0,10.0,10.0,8.027243741,8.304021449,10.0,10.0,0.0,7.721877532000001,7.598278973999999,9.545454545,9.896597278,9.086258019,9.967242712000001,9.058416577000001,9.192041351,8.971306294,8.76,2.0,8.10271966,28.0,1.0
