,index,year,state,code,majority_religion,majority_population,majority_ratio
0,1592,1945,Afghanistan,AFG,islam,8391998.0,0.9933
1,1593,1950,Afghanistan,AFG,islam,8910175.0,0.9947
2,1594,1955,Afghanistan,AFG,islam,9658503.0,0.9922
3,1595,1960,Afghanistan,AFG,islam,10537389.0,0.9779
4,1596,1965,Afghanistan,AFG,islam,11825320.0,0.9796
5,1597,1970,Afghanistan,AFG,islam,13477012.0,0.9893
6,1598,1975,Afghanistan,AFG,islam,14021540.0,0.9118
7,1599,1980,Afghanistan,AFG,islam,16771500.0,0.9695
8,1600,1985,Afghanistan,AFG,islam,15070645.0,0.9711
9,1601,1990,Afghanistan,AFG,islam,15295070.0,0.9709
10,1602,1995,Afghanistan,AFG,islam,19026255.0,0.9677
11,1603,2000,Afghanistan,AFG,islam,22162133.0,0.9754
12,1604,2005,Afghanistan,AFG,islam,25497000.0,0.9807
13,1605,2010,Afghanistan,AFG,islam,26880000.0,0.9956
14,1592,2015,Afghanistan,AFG,islam,26880000.0,0.9956
15,657,1945,Albania,ALB,islam,744990.0,0.664
16,658,1950,Albania,ALB,islam,799500.0,0.6579999999999999
17,659,1955,Albania,ALB,islam,857998.0,0.6222
18,660,1960,Albania,ALB,islam,916497.0,0.5689
19,661,1965,Albania,ALB,islam,974995.0,0.5214
20,662,1970,Albania,ALB,islam,1033493.0,0.4838
21,663,1975,Albania,ALB,islam,1091992.0,0.4548
22,664,1980,Albania,ALB,islam,1150490.0,0.4309
23,665,1985,Albania,ALB,islam,1271510.0,0.43
24,666,1990,Albania,ALB,islam,1367520.0,0.42
25,667,1995,Albania,ALB,islam,1948860.0,0.54
26,668,2000,Albania,ALB,islam,2051467.0,0.659
27,669,2005,Albania,ALB,islam,1931812.0,0.6148
28,670,2010,Albania,ALB,islam,2013180.0,0.63
29,657,2015,Albania,ALB,islam,2013180.0,0.63
30,1355,1965,Algeria,ALG,islam,10770700.0,0.9034
31,1356,1970,Algeria,ALG,islam,13611705.0,0.9902
32,1357,1975,Algeria,ALG,islam,15861508.0,0.9902
33,1358,1980,Algeria,ALG,islam,18479340.0,0.99
34,1359,1985,Algeria,ALG,islam,21631500.0,0.99
35,1360,1990,Algeria,ALG,islam,24146000.0,0.965
36,1361,1995,Algeria,ALG,islam,27208500.0,0.9697
37,1362,2000,Algeria,ALG,islam,30865165.0,0.9807
38,1363,2005,Algeria,ALG,islam,32576940.0,0.99
39,1364,2010,Algeria,ALG,islam,35309660.0,0.99
40,1355,2015,Algeria,ALG,islam,35309660.0,0.99
41,532,1995,Andorra,AND,christianity,62680.0,0.9218
42,533,2000,Andorra,AND,christianity,72946.0,0.9352
43,534,2005,Andorra,AND,christianity,74445.0,0.9423
44,535,2010,Andorra,AND,christianity,77546.0,0.907
45,532,2015,Andorra,AND,christianity,77546.0,0.907
46,1216,1975,Angola,ANG,christianity,5287242.0,0.8635
47,1217,1980,Angola,ANG,christianity,6252750.0,0.8908
48,1218,1985,Angola,ANG,christianity,7285380.0,0.9103
49,1219,1990,Angola,ANG,christianity,9307500.0,0.9289
50,1220,1995,Angola,ANG,christianity,9875230.0,0.913
51,1221,2000,Angola,ANG,christianity,10839535.0,0.8417
52,1222,2005,Angola,ANG,christianity,15029280.0,0.9044
53,1223,2010,Angola,ANG,christianity,17034849.0,0.8912
54,1216,2015,Angola,ANG,christianity,17034849.0,0.8912
55,138,1980,Antigua & Barbuda,AAB,christianity,53150.0,0.8437
56,139,1985,Antigua & Barbuda,AAB,christianity,52750.0,0.8242
57,140,1990,Antigua & Barbuda,AAB,christianity,47650.0,0.8028
58,141,1995,Antigua & Barbuda,AAB,christianity,52032.0,0.8446
59,142,2000,Antigua & Barbuda,AAB,christianity,56415.0,0.8834
60,143,2005,Antigua & Barbuda,AAB,christianity,67920.0,0.8183
61,144,2010,Antigua & Barbuda,AAB,christianity,79425.0,0.914
62,138,2015,Antigua & Barbuda,AAB,christianity,79425.0,0.914
63,385,1945,Argentina,ARG,christianity,15150266.0,0.9838
64,386,1950,Argentina,ARG,christianity,16191000.0,0.9441
65,387,1955,Argentina,ARG,christianity,18155042.0,0.9095
66,388,1960,Argentina,ARG,christianity,19623840.0,0.9519
67,389,1965,Argentina,ARG,christianity,21420596.0,0.9613
68,390,1970,Argentina,ARG,christianity,23217353.0,0.9689
69,391,1975,Argentina,ARG,christianity,25007040.0,0.96
70,392,1980,Argentina,ARG,christianity,26417319.0,0.9403
71,393,1985,Argentina,ARG,christianity,28044812.0,0.9254
72,394,1990,Argentina,ARG,christianity,29470753.0,0.906
73,395,1995,Argentina,ARG,christianity,31986560.0,0.92
74,396,2000,Argentina,ARG,christianity,33280506.0,0.8987
75,397,2005,Argentina,ARG,christianity,32627326.0,0.8454
76,398,2010,Argentina,ARG,christianity,34400709.0,0.8515
77,385,2015,Argentina,ARG,christianity,34400709.0,0.8515
78,794,1995,Armenia,ARM,christianity,3288527.0,0.8748
79,795,2000,Armenia,ARM,christianity,3416610.0,0.9706
80,796,2005,Armenia,ARM,christianity,3054651.0,0.9492
81,797,2010,Armenia,ARM,christianity,3086654.0,0.951
82,794,2015,Armenia,ARM,christianity,3086654.0,0.951
83,1906,1945,Australia,AUL,christianity,7079273.0,0.9577
84,1907,1950,Australia,AUL,christianity,7804437.0,0.9542
85,1908,1955,Australia,AUL,christianity,8723353.0,0.9482
86,1909,1960,Australia,AUL,christianity,9747250.0,0.9486
87,1910,1965,Australia,AUL,christianity,10696019.0,0.9392
88,1911,1970,Australia,AUL,christianity,11624696.0,0.9295
89,1912,1975,Australia,AUL,christianity,12364770.0,0.89
90,1913,1980,Australia,AUL,christianity,12732700.0,0.8665
91,1914,1985,Australia,AUL,christianity,13256330.0,0.8396
92,1915,1990,Australia,AUL,christianity,14059050.0,0.8239
93,1916,1995,Australia,AUL,christianity,14418100.0,0.7978
94,1917,2000,Australia,AUL,christianity,14578660.0,0.7719
95,1918,2005,Australia,AUL,christianity,14609098.0,0.7163
96,1919,2010,Australia,AUL,christianity,13150670.0,0.6145
97,1906,2015,Australia,AUL,christianity,13150670.0,0.6145
98,585,1955,Austria,AUS,christianity,6644938.0,0.9565
99,586,1960,Austria,AUS,christianity,6733738.0,0.9554
100,587,1965,Austria,AUS,christianity,6907450.0,0.95
101,588,1970,Austria,AUS,christianity,7128757.0,0.9547
102,589,1975,Austria,AUS,christianity,7167587.0,0.9457
103,590,1980,Austria,AUS,christianity,6821354.0,0.9029
104,591,1985,Austria,AUS,christianity,7027742.0,0.9274
105,592,1990,Austria,AUS,christianity,6433500.0,0.8324
106,593,1995,Austria,AUS,christianity,6996880.0,0.8695
107,594,2000,Austria,AUS,christianity,6445987.0,0.785
