index,state,code,majority_religion,majority_population,majority_ratio
85,Guinea-Bissau,GNB,animism,702000,0.475
157,Mongolia,MON,buddhism,1455388,0.53
163,Bhutan,BHU,buddhism,583740,0.8402
166,Myanmar,MYA,buddhism,43983776,0.7479
167,Sri Lanka,SRI,buddhism,14467488,0.7026
170,Thailand,THI,buddhism,58580120,0.87
171,Cambodia,CAM,buddhism,14801990,0.9669
172,Laos,LAO,buddhism,4159404,0.6773
173,Vietnam,DRV,buddhism,43079830,0.49
175,Singapore,SIN,buddhism,1688506,0.3303
0,United States of America,USA,christianity,233111307,0.7454
1,Canada,CAN,christianity,26431104,0.7661
2,Bahamas,BHM,christianity,302657,0.966
3,Cuba,CUB,christianity,7407107,0.6589
4,Haiti,HAI,christianity,8003882,0.82
5,Dominican Republic,DOM,christianity,8662283,0.87
6,Jamaica,JAM,christianity,1974000,0.6881
7,Trinidad and Tobago,TRI,christianity,729270,0.5588
8,Barbados,BAR,christianity,185756,0.6434
9,Dominica,DMA,christianity,67160,0.92
10,Grenada,GRN,christianity,94323,0.87
11,St. Lucia,SLU,christianity,151183,0.9218
12,St. Vincent and the Grenadines,SVG,christianity,93496,0.899
13,Antigua & Barbuda,AAB,christianity,79425,0.914
14,St. Kitts and Nevis,SKN,christianity,45525,0.8979
15,Mexico,MEX,christianity,108811290,0.9686
16,Belize,BLZ,christianity,223972,0.7365
17,Guatemala,GUA,christianity,13133239,0.95
18,Honduras,HON,christianity,7121814,0.89
19,El Salvador,SAL,christianity,6209779,0.861
20,Nicaragua,NIC,christianity,5242544,0.9005
21,Costa Rica,COS,christianity,3925741,0.8822
22,Panama,PAN,christianity,4166894,0.9793
23,Colombia,COL,christianity,44910647,0.9701
24,Venezuela,VEN,christianity,27392300,0.95
25,Guyana,GUY,christianity,427919,0.5575
26,Suriname,SUR,christianity,271680,0.48
27,Ecuador,ECU,christianity,12830327,0.903
28,Peru,PER,christianity,27579681,0.938
29,Brazil,BRA,christianity,168313010,0.8823
30,Bolivia,BOL,christianity,9720100,0.9426
31,Paraguay,PAR,christianity,6138983,0.951
32,Chile,CHL,christianity,15587652,0.9128
33,Argentina,ARG,christianity,34400709,0.8515
34,Uruguay,URU,christianity,2746709,0.8183
35,United Kingdom,UKG,christianity,38957273,0.6263
36,Ireland,IRE,christianity,4150307,0.9299
37,Netherlands,NTH,christianity,9626041,0.5794
38,Belgium,BEL,christianity,7526165,0.6920000000000001
39,Luxembourg,LUX,christianity,460637,0.9106
40,France,FRN,christianity,44023361,0.7019
41,Monaco,MNC,christianity,26550,0.802
42,Liechtenstein,LIE,christianity,31031,0.8678
43,Switzerland,SWZ,christianity,6303993,0.8056
44,Spain,SPN,christianity,37121529,0.8056
45,Andorra,AND,christianity,77546,0.907
46,Portugal,POR,christianity,9123319,0.8573
47,Germany,GMY,christianity,57827992,0.7078
48,Poland,POL,christianity,34539629,0.9046
49,Austria,AUS,christianity,6124531,0.73
50,Hungary,HUN,christianity,6669095,0.6736
52,Slovakia,SLO,christianity,4101842,0.7548
53,Italy,ITA,christianity,48018881,0.7939
54,San Marino,SNM,christianity,28088,0.8631
55,Malta,MLT,christianity,401633,0.9727
57,Montenegro,MNG,christianity,478002,0.7593
58,Macedonia,MAC,christianity,1310808,0.6374
59,Croatia,CRO,christianity,4042145,0.9137
60,Yugoslavia,YUG,christianity,6652741,0.9122
61,Bosnia and Herzegovina,BOS,christianity,1988372,0.52
63,Slovenia,SLV,christianity,1375987,0.67
64,Greece,GRC,christianity,10682948,0.9438
65,Cyprus,CYP,christianity,606674,0.7453
66,Bulgaria,BUL,christianity,6206119,0.8227
67,Moldova,MLD,christianity,2925500,0.8213
68,Romania,ROM,christianity,20899522,0.9751
69,Russia,RUS,christianity,105697556,0.7423
71,Latvia,LAT,christianity,1772369,0.7902
72,Lithuania,LIT,christianity,2755107,0.8296
73,Ukraine,UKR,christianity,39196664,0.852
74,Belarus,BLR,christianity,5394257,0.5684
75,Armenia,ARM,christianity,3086654,0.951
76,Georgia,GRG,christianity,3553010,0.7979999999999999
78,Finland,FIN,christianity,4258941,0.794
79,Sweden,SWD,christianity,7133814,0.7606
80,Norway,NOR,christianity,4103723,0.8401
81,Denmark,DEN,christianity,4527237,0.8172
82,Iceland,ICE,christianity,290063,0.9155
83,Cape Verde,CAP,christianity,450220,0.9478
84,Sao Tome and Principe,STP,christianity,153810,0.9441
86,Equatorial Guinea,EQG,christianity,622914,0.892
90,Benin,BEN,christianity,3514394,0.4
93,Ivory Coast,CDI,christianity,8029336,0.375
96,Liberia,LBR,christianity,3542240,0.85
98,Ghana,GHA,christianity,16879326,0.7034
99,Togo,TOG,christianity,2797212,0.48
100,Cameroon,CAO,christianity,9868484,0.4952
102,Gabon,GAB,christianity,1047752,0.7472
103,Central African Republic,CEN,christianity,2215305,0.49200000000000005
105,Congo,CON,christianity,3228666,0.8063
106,Democratic Republic of the Congo,DRC,christianity,63127199,0.9302
107,Uganda,UGA,christianity,25921856,0.833
108,Kenya,KEN,christianity,32402646,0.8063
109,Tanzania,TAZ,christianity,20574501,0.4777
110,Burundi,BUI,christianity,7641386,0.889
111,Rwanda,RWA,christianity,9252868,0.8945
114,Ethiopia,ETH,christianity,50654152,0.6156
115,Eritrea,ERI,christianity,3009808,0.575
116,Angola,ANG,christianity,17034849,0.8912
117,Mozambique,MZM,christianity,10340024,0.4734
118,Zambia,ZAM,christianity,11344499,0.87
119,Zimbabwe,ZIM,christianity,9961179,0.8188
120,Malawi,MAW,christianity,10452600,0.7228
121,South Africa,SAF,christianity,40488807,0.8094
122,Namibia,NAM,christianity,1865944,0.87
123,Lesotho,LES,christianity,1972951,0.9418
124,Botswana,BOT,christianity,1250799,0.6920000000000001
125,Swaziland,SWA,christianity,957312,0.7843
126,Madagascar,MAG,christianity,12031782,0.5858
129,Seychelles,SEY,christianity,81121,0.9365
177,Philippines,PHI,christianity,84493445,0.9174
179,East Timor,ETM,christianity,1105222,0.98
180,Australia,AUL,christianity,13150670,0.6145
181,Papua New Guinea,PNG,christianity,6611410,0.96
182,New Zealand,NEW,christianity,2361557,0.5407
183,Vanuatu,VAN,christianity,205190,0.85
184,Solomon Islands,SOL,christianity,482878,0.9
185,Kiribati,KIR,christianity,98880,0.96
186,Tuvalu,TUV,christianity,9764,0.9699
187,Fiji,FIJ,christianity,549963,0.64
188,Tonga,TON,christianity,98745,0.9421
189,Nauru,NAU,christianity,9638,0.9699
190,Marshall Islands,MSI,christianity,50971,0.9341
191,Palau,PAL,christianity,18391,0.8606
192,Federated States of Micronesia,FSM,christianity,96000,0.8651
193,Samoa,WSM,christianity,180140,0.9538
128,Mauritius,MAS,hinduism,622238,0.4859
162,India,IND,hinduism,961401054,0.8045
169,Nepal,NEP,hinduism,21551492,0.8134
56,Albania,ALB,islam,2013180,0.63
62,Kosovo,KOS,islam,1657720,0.9561
77,Azerbaijan,AZE,islam,8595234,0.95
87,Gambia,GAM,islam,1548362,0.9
88,Mali,MLI,islam,12754822,0.94
89,Senegal,SEN,islam,11346069,0.9389
91,Mauritania,MAA,islam,3212166,0.97
92,Niger,NIR,islam,13714412,0.915
94,Guinea,GUI,islam,8702832,0.85
95,Burkina Faso,BFO,islam,9023117,0.579
97,Sierra Leone,SIE,islam,3396544,0.5532
101,Nigeria,NIG,islam,78284656,0.508
104,Chad,CHA,islam,6347232,0.552
112,Somalia,SOM,islam,9283692,0.995
113,Djibouti,DJI,islam,860869,0.975
127,Comoros,COM,islam,666746,0.9806
130,Morocco,MOR,islam,31430015,0.9891
131,Algeria,ALG,islam,35309660,0.99
132,Tunisia,TUN,islam,10443506,0.99
133,Libya,LIB,islam,6310833,0.9695
134,Sudan,SUD,islam,28488914,0.71
135,Iran,IRN,islam,73332824,0.99
136,Turkey,TUR,islam,75699756,0.9858
137,Iraq,IRQ,islam,30210000,0.95
138,Egypt,EGY,islam,70248701,0.8643
139,Syria,SYR,islam,18372466,0.902
140,Lebanon,LEB,islam,2203740,0.54
141,Jordan,JOR,islam,5928782,0.97
143,Saudi Arabia,SAU,islam,24477606,0.9382
144,Yemen,YEM,islam,23369328,0.99
145,Kuwait,KUW,islam,2478497,0.9195
146,Bahrain,BAH,islam,1106174,0.8959999999999999
147,Qatar,QAT,islam,798733,0.47
148,United Arab Emirates,UAE,islam,4208337,0.6748
149,Oman,OMA,islam,2678195,0.8987
150,Afghanistan,AFG,islam,26880000,0.9956
151,Turkmenistan,TKM,islam,4998243,0.89
152,Tajikistan,TAJ,islam,6692802,0.9
153,Kyrgyzstan,KYR,islam,4132536,0.7702
154,Uzbekistan,UZB,islam,26189329,0.93
