,level_0,index,year,state,code,christianity_protestant,christianity_romancatholic,christianity_easternorthodox,christianity_anglican,christianity_other,christianity_all,judaism_orthodox,judaism_conservative,judaism_reform,judaism_other,judaism_all,islam_sunni,islam_shi’a,islam_ibadhi,islam_nationofislam,islam_alawite,islam_ahmadiyya,islam_other,islam_all,buddhism_mahayana,buddhism_theravada,buddhism_other,buddhism_all,zoroastrianism_all,hinduism_all,sikhism_all,shinto_all,baha’i_all,taoism_all,jainism_all,confucianism_all,syncretism_all,animism_all,noreligion_all,otherreligion_all,religion_all,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code,majority_religion
0,0,13,2010,United States of America,USA,119755961,78397889,7036875,4847625,23072957,233111307,1051778,1747021,2436322.0,707127,5942248,2476980,337770,0,0,0,0,0.0,2814750,908236,0,2502000,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000,0.3829,0.2507,0.0225,0.0155,0.0738,0.7454,0.0034,0.0056,0.0078,0.0023,0.019,0.0079,0.0011,0.0,0,0.0,0.0,0.0,0.009000000000000001,0.0029,0.0,0.008,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.9975,1.0,0,25,christianity
1,1,27,2010,Canada,CAN,7929127,14497030,785000,2722447,497500,26431104,68061,119107,51045.0,102091,340304,600000,70000,0,0,0,0,0.0,670000,0,0,670000,670000,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,34464899,34500000,0.2298,0.4202,0.0228,0.0789,0.0144,0.7661,0.002,0.0035,0.0015,0.003,0.0099,0.0174,0.002,0.0,0,0.0,0.0,0.0,0.0194,0.0,0.0,0.0194,0.0194,0.0002,0.008,0.008,0.0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001,0.9990000000000001,1.0,0,26,christianity
2,2,35,2010,Bahamas,BHM,211798,43863,0,46996,0,302657,0,0,0.0,305,305,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,1018,9086,153,313159,313312,0.6759999999999999,0.14,0.0,0.15,0.0,0.966,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0032,0.028999999999999998,0.0005,0.9995,1.0,0,83,christianity
3,3,49,2010,Cuba,CUB,550000,6744696,0,0,112411,7407107,0,0,0.0,1500,1500,0,0,0,0,0,0,8000.0,8000,0,0,0,0,0,25000,0,0,0,0,0,0,5620580,0,1478290,0,14540477,11241161,0.0489,0.6,0.0,0.0,0.01,0.6589,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1315,0.0,1.2935,1.2934,1,78,christianity
4,4,63,2010,Haiti,HAI,976083,7027799,0,0,0,8003882,0,0,0.0,120,120,0,0,0,0,0,0,1750.0,1750,0,0,0,0,0,0,0,0,8527,0,0,0,4392374,0,976083,0,13382736,9760832,0.1,0.72,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.45,0.0,0.1,0.0,1.3711,1.3711,1,1,christianity
5,5,77,2010,Dominican Republic,DOM,1493497,7168786,0,0,0,8662283,0,0,0.0,100,100,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194797,99468,9857180,9956648,0.15,0.72,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.99,1.0,0,78,christianity
6,6,88,2010,Jamaica,JAM,1736000,58000,0,75000,105000,1974000,0,0,0.0,531,531,0,0,0,0,0,0,1513.0,1513,0,0,322,322,0,15961,0,0,209,0,0,0,0,0,572000,304094,2564536,2868630,0.6052,0.0202,0.0,0.0261,0.0366,0.6881,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0,0.0,0.0,0.0005,0.0005,0.0,0.0,0.0001,0.0001,0.0,0.0056,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.1994,0.106,0.894,1.0,0,80,christianity
7,7,99,2010,Trinidad and Tobago,TRI,365100,285670,3500,75000,0,729270,0,0,0.0,0,0,0,0,0,0,0,0,65700.0,65700,0,0,0,0,0,240100,0,0,0,0,0,0,0,0,175640,94290,1210710,1305000,0.2798,0.2189,0.0027,0.0575,0.0,0.5588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0503,0.0503,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346,0.0723,0.9277,1.0,0,81,christianity
8,8,108,2010,Barbados,BAR,101335,11464,0,72957,0,185756,0,0,0.0,30,30,0,0,0,0,0,0,2300.0,2300,0,0,120,120,0,1200,0,0,0,0,0,0,0,0,59184,40115,248590,288705,0.35100000000000003,0.0397,0.0,0.2527,0.0,0.6434,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.008,0.008,0.0,0.0,0.0004,0.0004,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.1389,0.8611,1.0,0,1,christianity
9,9,115,2010,Dominica,DMA,10950,56210,0,0,0,67160,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380,1460,71540,73000,0.15,0.77,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.98,1.0,0,78,christianity
